game_id,sport_key,home_team,away_team,bookmaker,outcome,american_odds,decimal_odds,implied_prob,average_decimal_odds,difference
bc9874937bfd0edde3af410035879d46,icehockey_nhl,Pittsburgh Penguins,Toronto Maple Leafs,draftkings,Pittsburgh Penguins,135.0,2.35,0.425531914893617,2.4225000000000003,-0.07250000000000023
bc9874937bfd0edde3af410035879d46,icehockey_nhl,Pittsburgh Penguins,Toronto Maple Leafs,draftkings,Toronto Maple Leafs,-175.43859649122805,1.57,0.6369426751592356,1.545,0.025000000000000133
bc9874937bfd0edde3af410035879d46,icehockey_nhl,Pittsburgh Penguins,Toronto Maple Leafs,betmgm,Pittsburgh Penguins,145.00000000000003,2.45,0.4081632653061224,2.4225000000000003,0.027499999999999858
bc9874937bfd0edde3af410035879d46,icehockey_nhl,Pittsburgh Penguins,Toronto Maple Leafs,betmgm,Toronto Maple Leafs,-185.18518518518516,1.54,0.6493506493506493,1.545,-0.004999999999999893
bc9874937bfd0edde3af410035879d46,icehockey_nhl,Pittsburgh Penguins,Toronto Maple Leafs,fanduel,Pittsburgh Penguins,144.0,2.44,0.4098360655737705,2.4225000000000003,0.017499999999999627
bc9874937bfd0edde3af410035879d46,icehockey_nhl,Pittsburgh Penguins,Toronto Maple Leafs,fanduel,Toronto Maple Leafs,-185.18518518518516,1.54,0.6493506493506493,1.545,-0.004999999999999893
bc9874937bfd0edde3af410035879d46,icehockey_nhl,Pittsburgh Penguins,Toronto Maple Leafs,bovada,Pittsburgh Penguins,145.00000000000003,2.45,0.4081632653061224,2.4225000000000003,0.027499999999999858
bc9874937bfd0edde3af410035879d46,icehockey_nhl,Pittsburgh Penguins,Toronto Maple Leafs,bovada,Toronto Maple Leafs,-188.67924528301887,1.53,0.6535947712418301,1.545,-0.014999999999999902
a8c2520303768817d99b4f308d96e1cf,icehockey_nhl,Minnesota Wild,Boston Bruins,betrivers,Boston Bruins,125.0,2.25,0.4444444444444444,2.3737500000000002,-0.12375000000000025
a8c2520303768817d99b4f308d96e1cf,icehockey_nhl,Minnesota Wild,Boston Bruins,betrivers,Minnesota Wild,-153.84615384615387,1.65,0.6060606060606061,1.6175000000000002,0.03249999999999975
