game_id,sport_key,home_team,away_team,bookmaker,outcome,american_odds,decimal_odds,implied_prob
f58f948e9704be1dfee923ac6fb6a1d7,icehockey_nhl,Montréal Canadiens,Buffalo Sabres,bovada,Buffalo Sabres,-105,1.95,0.5128205128205129
f58f948e9704be1dfee923ac6fb6a1d7,icehockey_nhl,Montréal Canadiens,Buffalo Sabres,bovada,Montréal Canadiens,-115,1.87,0.53475935828877
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,betrivers,Florida Panthers,-130,1.77,0.5649717514124294
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,betrivers,Tampa Bay Lightning,107,2.07,0.48309178743961356
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,fanduel,Florida Panthers,-122,1.82,0.5494505494505494
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,fanduel,Tampa Bay Lightning,100,2.0,0.5
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,draftkings,Florida Panthers,-122,1.82,0.5494505494505494
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,draftkings,Tampa Bay Lightning,102,2.02,0.49504950495049505
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,mybookieag,Florida Panthers,-128,1.78,0.5617977528089888
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,mybookieag,Tampa Bay Lightning,101,2.01,0.49751243781094534
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,betmgm,Florida Panthers,-120,1.83,0.5464480874316939
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,betmgm,Tampa Bay Lightning,100,2.0,0.5
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,lowvig,Florida Panthers,-120,1.83,0.5464480874316939
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,lowvig,Tampa Bay Lightning,107,2.07,0.48309178743961356
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,betonlineag,Florida Panthers,-120,1.83,0.5464480874316939
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,betonlineag,Tampa Bay Lightning,107,2.07,0.48309178743961356
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,betus,Florida Panthers,-120,1.83,0.5464480874316939
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,betus,Tampa Bay Lightning,100,2.0,0.5
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,bovada,Florida Panthers,-122,1.82,0.5494505494505494
06e9549407b0ac1b3d7f2bf44b9515bd,icehockey_nhl,Florida Panthers,Tampa Bay Lightning,bovada,Tampa Bay Lightning,102,2.02,0.49504950495049505
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,betrivers,New York Islanders,107,2.07,0.48309178743961356
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,betrivers,New York Rangers,-130,1.77,0.5649717514124294
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,draftkings,New York Islanders,105,2.05,0.48780487804878053
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,draftkings,New York Rangers,-125,1.8,0.5555555555555556
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,fanduel,New York Islanders,112,2.12,0.4716981132075471
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,fanduel,New York Rangers,-133,1.75,0.5714285714285714
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,mybookieag,New York Islanders,103,2.03,0.4926108374384237
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,mybookieag,New York Rangers,-132,1.76,0.5681818181818182
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,betmgm,New York Islanders,105,2.05,0.48780487804878053
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,betmgm,New York Rangers,-125,1.8,0.5555555555555556
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,bovada,New York Islanders,105,2.05,0.48780487804878053
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,bovada,New York Rangers,-125,1.8,0.5555555555555556
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,lowvig,New York Islanders,109,2.09,0.47846889952153115
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,lowvig,New York Rangers,-123,1.81,0.5524861878453039
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,betonlineag,New York Islanders,109,2.09,0.47846889952153115
09077b1ef72829d37950445383e81803,icehockey_nhl,New York Rangers,New York Islanders,betonlineag,New York Rangers,-123,1.81,0.5524861878453039
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,betrivers,San Jose Sharks,280,3.8,0.2631578947368421
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,betrivers,Toronto Maple Leafs,-357,1.28,0.78125
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,fanduel,San Jose Sharks,300,4.0,0.25
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,fanduel,Toronto Maple Leafs,-385,1.26,0.7936507936507936
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,draftkings,San Jose Sharks,310,4.1,0.24390243902439027
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,draftkings,Toronto Maple Leafs,-400,1.25,0.8
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,mybookieag,San Jose Sharks,300,4.0,0.25
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,mybookieag,Toronto Maple Leafs,-435,1.23,0.8130081300813008
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,betmgm,San Jose Sharks,290,3.9,0.25641025641025644
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,betmgm,Toronto Maple Leafs,-370,1.27,0.7874015748031495
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,bovada,San Jose Sharks,295,3.95,0.2531645569620253
