game_id,sport_key,home_team,away_team,bookmaker,outcome,american_odds,decimal_odds,implied_prob
a8c2520303768817d99b4f308d96e1cf,icehockey_nhl,Minnesota Wild,Boston Bruins,draftkings,Boston Bruins,350,4.5,0.2222222222222222
a8c2520303768817d99b4f308d96e1cf,icehockey_nhl,Minnesota Wild,Boston Bruins,draftkings,Minnesota Wild,-526,1.19,0.8403361344537815
a8c2520303768817d99b4f308d96e1cf,icehockey_nhl,Minnesota Wild,Boston Bruins,fanduel,Boston Bruins,350,4.5,0.2222222222222222
a8c2520303768817d99b4f308d96e1cf,icehockey_nhl,Minnesota Wild,Boston Bruins,fanduel,Minnesota Wild,-526,1.19,0.8403361344537815
a8c2520303768817d99b4f308d96e1cf,icehockey_nhl,Minnesota Wild,Boston Bruins,betmgm,Boston Bruins,333,4.33,0.23094688221709006
a8c2520303768817d99b4f308d96e1cf,icehockey_nhl,Minnesota Wild,Boston Bruins,betmgm,Minnesota Wild,-476,1.21,0.8264462809917356
a8c2520303768817d99b4f308d96e1cf,icehockey_nhl,Minnesota Wild,Boston Bruins,bovada,Boston Bruins,320,4.2,0.23809523809523808
a8c2520303768817d99b4f308d96e1cf,icehockey_nhl,Minnesota Wild,Boston Bruins,bovada,Minnesota Wild,-476,1.21,0.8264462809917356
afbf86b8ff683597773798d55565ab56,icehockey_nhl,Carolina Hurricanes,Calgary Flames,draftkings,Calgary Flames,240,3.4,0.29411764705882354
afbf86b8ff683597773798d55565ab56,icehockey_nhl,Carolina Hurricanes,Calgary Flames,draftkings,Carolina Hurricanes,-333,1.3,0.7692307692307692
afbf86b8ff683597773798d55565ab56,icehockey_nhl,Carolina Hurricanes,Calgary Flames,fanduel,Calgary Flames,215,3.15,0.31746031746031744
afbf86b8ff683597773798d55565ab56,icehockey_nhl,Carolina Hurricanes,Calgary Flames,fanduel,Carolina Hurricanes,-294,1.34,0.7462686567164178
afbf86b8ff683597773798d55565ab56,icehockey_nhl,Carolina Hurricanes,Calgary Flames,betmgm,Calgary Flames,225,3.25,0.3076923076923077
afbf86b8ff683597773798d55565ab56,icehockey_nhl,Carolina Hurricanes,Calgary Flames,betmgm,Carolina Hurricanes,-294,1.34,0.7462686567164178
afbf86b8ff683597773798d55565ab56,icehockey_nhl,Carolina Hurricanes,Calgary Flames,bovada,Calgary Flames,250,3.5,0.2857142857142857
afbf86b8ff683597773798d55565ab56,icehockey_nhl,Carolina Hurricanes,Calgary Flames,bovada,Carolina Hurricanes,-345,1.29,0.7751937984496123
07bae813262c25cbf8bf34dbd0fbe646,icehockey_nhl,Dallas Stars,St Louis Blues,betrivers,Dallas Stars,-227,1.44,0.6944444444444444
07bae813262c25cbf8bf34dbd0fbe646,icehockey_nhl,Dallas Stars,St Louis Blues,betrivers,St Louis Blues,180,2.8,0.35714285714285715
07bae813262c25cbf8bf34dbd0fbe646,icehockey_nhl,Dallas Stars,St Louis Blues,draftkings,Dallas Stars,-217,1.46,0.684931506849315
07bae813262c25cbf8bf34dbd0fbe646,icehockey_nhl,Dallas Stars,St Louis Blues,draftkings,St Louis Blues,180,2.8,0.35714285714285715
07bae813262c25cbf8bf34dbd0fbe646,icehockey_nhl,Dallas Stars,St Louis Blues,betonlineag,Dallas Stars,-208,1.48,0.6756756756756757
07bae813262c25cbf8bf34dbd0fbe646,icehockey_nhl,Dallas Stars,St Louis Blues,betonlineag,St Louis Blues,185,2.85,0.3508771929824561
07bae813262c25cbf8bf34dbd0fbe646,icehockey_nhl,Dallas Stars,St Louis Blues,lowvig,Dallas Stars,-208,1.48,0.6756756756756757
07bae813262c25cbf8bf34dbd0fbe646,icehockey_nhl,Dallas Stars,St Louis Blues,lowvig,St Louis Blues,185,2.85,0.3508771929824561
